athlete_id,name,region,affiliate,gender,age,height,candj,snatch,deadlift,backsq,train,experience,howlong
LXNA15699213201180,Wayne Sharp,Europe,In2 CrossFit Clapham,Male,28.0-31.0,70.0-72.0,240.0-275.0,193.99067216820637,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,4+ years|
BHTI59078744858588,Miss Jill Brown,Southern California,Brick CrossFit,Male,14.0-28.0,69.0-70.0,275.0-1936.0,244.76058562750674,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
PIMW67313076396550,Keith Hill-Mitchell,Europe,CrossFit Turicum,Male,34.0-40.0,69.0-70.0,240.0-275.0,208.86864977164672,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,2-4 years|
QZZA40488732098329,Dr Toby Jarvis,Canada East,Maritime CrossFit,Male,40.0-56.0,69.0-70.0,209.60000000000002-240.0,160.0084041185288,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,4+ years|
BBBZ42413726879805,Yvonne Hooper,South Central,Vintage CrossFit,Male,14.0-28.0,1.0-66.0,209.60000000000002-240.0,194.87325994780832,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
IJYQ38017119972822,Ms Amber Davies,South Central,First Street CrossFit,Male,28.0-31.0,72.0-8388607.0,275.0-1936.0,219.93105444443924,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
OWVE86569992012648,Geoffrey Porter,North Central,Black Hills CrossFit,Male,14.0-28.0,70.0-72.0,209.60000000000002-240.0,190.1252650469953,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
UUTM89505436111401,Graeme Bailey-Mann,Southern California,CrossFit East County,Male,14.0-28.0,66.0-69.0,275.0-1936.0,255.0533443981569,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
ALHI35979598630316,Mitchell Martin,Mid Atlantic,CrossFit Fairfax,Male,40.0-56.0,70.0-72.0,175.0-209.60000000000002,165.0788594231694,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,4+ years|
HGTW10786287748188,Terence Powell,Canada West,CrossFit Currie Barracks,Male,31.0-34.0,72.0-8388607.0,275.0-1936.0,214.92896102014507,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I train other people|,4+ years|
IEQO56231591361123,Amanda Palmer,Northern California,NorCal CrossFit,Male,28.0-31.0,66.0-69.0,275.0-1936.0,260.0138212005039,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
HSKB44084561120379,Mr Rhys Riley,Europe,CrossFit Leeds The Forge,Male,28.0-31.0,70.0-72.0,209.60000000000002-240.0,175.89121949741082,375.0-419.0,240.0-295.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|",I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
ZDHE84136737745525,Cameron Ellis-Sharp,North East,CrossFit NYC,Male,40.0-56.0,72.0-8388607.0,240.0-275.0,185.0845377169809,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,2-4 years|
AKDU78418983240562,Mr Josh Gardiner,Latin America,CrossFit Cayman,Male,34.0-40.0,72.0-8388607.0,275.0-1936.0,250.098204452349,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,2-4 years|
TJAW75334547491045,Lynda Gough,Mid Atlantic,CrossFit LIT,Male,28.0-31.0,66.0-69.0,175.0-209.60000000000002,139.87451554231424,305.0-375.0,0.0-240.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
WGZV19526201523412,Rhys Wallis,Latin America,CrossFit Campinas,Male,31.0-34.0,66.0-69.0,175.0-209.60000000000002,165.20164973633183,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,2-4 years|
TJON51470781571276,Mrs Paula Moore,Australia,CrossFit Shoalhaven,Male,34.0-40.0,69.0-70.0,240.0-275.0,197.86296592018854,305.0-375.0,295.0-340.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
FYDC84952224763675,Rebecca Blake,Asia,Chamorri CrossFit,Male,28.0-31.0,66.0-69.0,240.0-275.0,195.0893578211745,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
XBAH09074915832963,Jasmine Kemp,Europe,CrossFit Black Five,Male,34.0-40.0,72.0-8388607.0,275.0-1936.0,204.89086482644825,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
LQDA04102648927058,Dr Frank Hill,North East,CrossFit  321,Male,40.0-56.0,1.0-66.0,175.0-209.60000000000002,149.87862084078836,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
QBNE73307940184668,Maurice Perry-Rogers,South West,CrossFit The Point,Male,31.0-34.0,1.0-66.0,209.60000000000002-240.0,160.099306645183,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have attended one or more specialty courses|,2-4 years|
VSOA75956447419562,Lauren Saunders,Mid Atlantic,CrossFit Charlottesville,Male,28.0-31.0,72.0-8388607.0,240.0-275.0,231.03521430713678,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
FNEL60851590126413,Dean Joyce-Tucker,Central East,CrossFit Cool Springs,Male,31.0-34.0,70.0-72.0,275.0-1936.0,254.83631226460855,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
ZVQS02559902639840,Karen Pollard,North East,Charles River CrossFit,Male,28.0-31.0,1.0-66.0,240.0-275.0,209.00937544159328,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
CVUO51110654508596,Chelsea Kaur,South Central,CrossFit Laredo,Male,40.0-56.0,70.0-72.0,209.60000000000002-240.0,174.9160974697803,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,4+ years|
GABG91343439431166,Jill Smith,South East,ECFF CrossFit,Male,28.0-31.0,72.0-8388607.0,275.0-1936.0,224.93392918107736,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,4+ years|
VPJH70530629456655,Marcus Pugh,Southern California,CrossFit Ethos,Male,28.0-31.0,72.0-8388607.0,240.0-275.0,194.86731393288056,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
PMBF96590533792524,Joe Saunders,Mid Atlantic,Sil War CrossFit,Male,34.0-40.0,70.0-72.0,240.0-275.0,185.00484368515845,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have attended one or more specialty courses|I train other people|,4+ years|
ZGSO60364440594598,Bruce Stone,Europe,CrossFit Essen,Male,31.0-34.0,70.0-72.0,240.0-275.0,220.02125572278936,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
SRDX37108619969598,Dr Tina Doyle,South West,CrossFit WestCo,Male,34.0-40.0,70.0-72.0,209.60000000000002-240.0,165.04846346551048,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
MGDI28657758068942,Vincent Harris,Mid Atlantic,CrossFit Salisbury,Male,28.0-31.0,66.0-69.0,275.0-1936.0,224.968265787837,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
QOXH30413471070806,Caroline Carter-Morris,South East,CrossFit Mobile Midtown,Male,34.0-40.0,72.0-8388607.0,240.0-275.0,169.95804011089135,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
POMG17737055752723,Judith Graham,Latin America,MUVe CrossFit,Male,28.0-31.0,66.0-69.0,209.60000000000002-240.0,170.8901125439308,419.0-465.0,340.0-385.0,"I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|",I train other people|,2-4 years|
XGZY64186763510878,Norman Smith,Latin America,CrossFit Ebur,Male,14.0-28.0,66.0-69.0,275.0-1936.0,225.24268496730954,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I train other people|,1-2 years|
WCLH66922748325937,Colin Murphy,South West,Kingman CrossFit,Male,40.0-56.0,72.0-8388607.0,240.0-275.0,204.85696811336138,305.0-375.0,385.0-3450.0,"I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|,2-4 years|
ZTEP48622007141623,Sally Harris,North Central,CrossFit 405,Male,34.0-40.0,69.0-70.0,275.0-1936.0,225.00265534172954,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|4+ years|
CFJF30350093771761,Stephen Cooper,North Central,CrossFit 8035,Male,31.0-34.0,69.0-70.0,240.0-275.0,215.086712637093,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,4+ years|
IXGT77766694895439,Norman Hussain,Central East,CrossFit Combustion,Male,40.0-56.0,70.0-72.0,275.0-1936.0,204.95318927471473,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
ZXNE87998427885763,Karl Sanderson-Roberts,North West,CrossFit Nine WBC,Male,34.0-40.0,70.0-72.0,209.60000000000002-240.0,194.9135595046642,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,4+ years|
QUND90809101157281,Tracey Parker,North West,CrossFit Eastlake,Male,31.0-34.0,72.0-8388607.0,275.0-1936.0,246.96359186242796,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
ODUT45836785750348,Victoria Lewis,North West,CrossFit Wilsonville,Male,28.0-31.0,70.0-72.0,275.0-1936.0,250.14340693501728,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
OQCF62892788611639,Annette Williamson,South East,No Excuses Athletics CrossFit,Male,31.0-34.0,72.0-8388607.0,275.0-1936.0,204.94324103663342,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
VEMW55843466764541,Kirsty Graham,South Central,CrossFit Lewisville,Male,14.0-28.0,1.0-66.0,275.0-1936.0,214.94985234440145,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
GDBY92569012228821,Janet Edwards,Northern California,Flagship CrossFit,Male,31.0-34.0,70.0-72.0,240.0-275.0,190.03340043203687,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,4+ years|
BHHE96187697452680,Marie Rees,South West,SinCity CrossFit,Male,14.0-28.0,66.0-69.0,240.0-275.0,190.19230018832812,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
FEIY79448473278723,Marcus Doherty,Central East,CrossFit Brigade,Male,28.0-31.0,70.0-72.0,275.0-1936.0,259.98935767889384,465.0-1936.0,385.0-3450.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,1-2 years|2-4 years|
OYOO58288393524075,Abigail Turner,North West,Foundation CrossFit,Male,28.0-31.0,1.0-66.0,240.0-275.0,194.00607979060138,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
PHOI17757899163872,Kimberley Hope,Australia,CrossFit Rev X,Male,14.0-28.0,70.0-72.0,209.60000000000002-240.0,197.99126789877917,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
GPUF65422016816020,Georgia Moore-Roberts,Southern California,CrossFit 310,Male,31.0-34.0,70.0-72.0,240.0-275.0,175.03482310421353,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,1-2 years|2-4 years|
DSOQ21938650987812,Dr Paula Thomas,South Central,Clear Lake CrossFit,Male,31.0-34.0,69.0-70.0,240.0-275.0,184.99767712591347,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
EIXA95877075289737,Jennifer Collins,South Central,CrossFit 940,Male,34.0-40.0,72.0-8388607.0,275.0-1936.0,215.0141437056369,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
HXBS17371467747692,Alexandra Carter-Thornton,Canada West,CrossFit Calgary,Male,28.0-31.0,70.0-72.0,275.0-1936.0,254.87992930703228,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
IZAK57351756927032,Lawrence Baldwin-Dobson,North East,CrossFit Klew,Male,28.0-31.0,70.0-72.0,209.60000000000002-240.0,165.0636318035916,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,2-4 years|
SBKF90204171380451,Josh Jones,Southern California,CrossFit High Definition,Male,34.0-40.0,66.0-69.0,209.60000000000002-240.0,164.92311494987564,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,4+ years|
CFAA27979203987913,Declan Roberts,Europe,CrossFit Teesside,Male,14.0-28.0,69.0-70.0,209.60000000000002-240.0,185.1534174998267,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
